                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                  1.101,                0.62117,                 1.3821,                0.99499,                0.93548,                0.96705,                0.63482,                 1.3084,                0.54293,                 1.4508,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1195,                0.56703,                 1.3801,                      1,                0.93338,                0.96591,                0.64333,                  1.296,                0.55585,                 1.4685,               0.000218,               0.000218,               0.000218
                     93,                 1.0793,                0.53459,                 1.3854,                      1,                0.94343,                0.96658,                0.63771,                 1.3095,                0.53987,                 1.4882,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0842,                0.52045,                 1.4297,                0.97912,                0.93548,                0.96861,                0.63636,                  1.303,                0.52253,                 1.4882,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0534,                0.54152,                 1.3673,                0.99619,                0.96774,                0.97031,                 0.6277,                 1.3172,                0.51964,                 1.4853,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0882,                0.51538,                 1.3844,                0.96437,                0.96774,                0.96805,                0.62656,                 1.3086,                 0.5245,                 1.4822,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0902,                0.50551,                 1.3859,                0.96271,                0.96774,                  0.968,                0.63171,                  1.284,                0.51953,                 1.4715,               0.000119,               0.000119,               0.000119
                     98,                 1.0346,                0.47933,                 1.3484,                0.96129,                0.96774,                0.96809,                0.63745,                 1.2751,                0.51438,                 1.4681,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0537,                0.49302,                 1.3406,                0.96053,                0.96774,                0.96818,                0.65146,                  1.274,                0.51614,                 1.4678,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0527,                 0.4896,                 1.3969,                0.95895,                0.96774,                0.96809,                0.64303,                 1.2747,                0.51491,                 1.4703,               5.96e-05,               5.96e-05,               5.96e-05
